"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.082958464E2,3.510726929E0,2.543456268E1,4.455497742E1,5.142361515E1
1.083058964E2,3.541984558E0,2.547593689E1,4.447659302E1,5.137836453E1
1.083159526E2,3.547376633E0,2.547663307E1,4.460367966E1,5.148913432E1
1.083260016E2,3.568113327E0,2.540057182E1,4.468469238E1,5.152322015E1
1.083360516E2,3.575281143E0,2.541640854E1,4.460746384E1,5.146457314E1
1.083461006E2,3.497514725E0,2.541529465E1,4.453033447E1,5.139183300E1
1.083561496E2,3.527667999E0,2.536560440E1,4.449775314E1,5.134109819E1
1.083661996E2,3.581180573E0,2.527202797E1,4.466856384E1,5.144687403E1
1.083762486E2,3.608308792E0,2.515920258E1,4.481674194E1,5.152228377E1
1.083862976E2,3.595996857E0,2.520647240E1,4.462032318E1,5.137383269E1
1.083963476E2,3.597713470E0,2.525412369E1,4.453967285E1,5.132734908E1
1.084063966E2,3.602678299E0,2.521676445E1,4.472591400E1,5.147107813E1
1.084164456E2,3.619394302E0,2.514265442E1,4.484273529E1,5.153759787E1
1.084264956E2,3.666156769E0,2.514840508E1,4.480895996E1,5.151432690E1
1.084365446E2,3.593917847E0,2.516192818E1,4.473754883E1,5.145373796E1
1.084465936E2,3.567474365E0,2.519280624E1,4.461926651E1,5.136422202E1
1.084566436E2,3.560569763E0,2.516738319E1,4.470812225E1,5.142850405E1
1.084666926E2,3.621164322E0,2.513434219E1,4.464286423E1,5.135984146E1
1.084767416E2,3.589889526E0,2.523126030E1,4.450283813E1,5.128358807E1
1.084867916E2,3.603824615E0,2.521690369E1,4.457279968E1,5.133823385E1
1.084968406E2,3.648145676E0,2.524326324E1,4.476667023E1,5.152267529E1
1.085068906E2,3.568193436E0,2.527498817E1,4.478170013E1,5.154568555E1
1.085169396E2,3.570152283E0,2.527689934E1,4.474399567E1,5.151400563E1
1.085269886E2,3.583272934E0,2.530840111E1,4.469943237E1,5.149169123E1
1.085370386E2,3.598676682E0,2.520566368E1,4.482528687E1,5.155174389E1
1.085470876E2,3.592668533E0,2.514149284E1,4.493297577E1,5.161370207E1
1.085571366E2,3.591613770E0,2.507899857E1,4.488426590E1,5.154079146E1
1.085671866E2,3.619039536E0,2.505081940E1,4.474808884E1,5.141043137E1
1.085772356E2,3.665498734E0,2.511762810E1,4.475372696E1,5.145121183E1
1.085872846E2,3.638681412E0,2.523121834E1,4.486320496E1,5.160001492E1
1.085973346E2,3.618223190E0,2.529732132E1,4.487336731E1,5.163976277E1
1.086073836E2,3.579837799E0,2.529371262E1,4.492102814E1,5.167674434E1
1.086174326E2,3.555782318E0,2.532512856E1,4.487714386E1,5.165233553E1
1.086274826E2,3.542385101E0,2.532616806E1,4.463414001E1,5.144093444E1
1.086375316E2,3.581657410E0,2.529626846E1,4.474551773E1,5.152563270E1
1.086475806E2,3.625692368E0,2.531757164E1,4.492990112E1,5.169933359E1
1.086576306E2,3.680219650E0,2.532455063E1,4.486299896E1,5.164848069E1
1.086676796E2,3.688413620E0,2.535160065E1,4.476570129E1,5.157786408E1
1.086777286E2,3.700700760E0,2.529704475E1,4.486688232E1,5.163983723E1
1.086877786E2,3.663078308E0,2.529519653E1,4.473847198E1,5.152471238E1
1.086978276E2,3.650928497E0,2.527850342E1,4.466922760E1,5.145553331E1
1.087078766E2,3.641641617E0,2.528295517E1,4.476253510E1,5.153808227E1
1.087179266E2,3.693185806E0,2.530940437E1,4.491261673E1,5.168509178E1
1.087279756E2,3.670074463E0,2.536381531E1,4.486174011E1,5.166592977E1
1.087380256E2,3.633914948E0,2.538384438E1,4.494201660E1,5.174291980E1
1.087480746E2,3.625402451E0,2.531257439E1,4.494445419E1,5.170951487E1
1.087581236E2,3.585079193E0,2.528516388E1,4.487506866E1,5.163297486E1
1.087681736E2,3.585130692E0,2.531639671E1,4.488278198E1,5.165498256E1
1.087782226E2,3.610252380E0,2.526597977E1,4.506711197E1,5.179235694E1
1.087882716E2,3.631177902E0,2.524063873E1,4.508100891E1,5.179355810E1
1.087983216E2,3.595544815E0,2.521348190E1,4.496547699E1,5.167728450E1
1.088083706E2,3.554859161E0,2.525585747E1,4.489018631E1,5.162968320E1
1.088184196E2,3.575122833E0,2.530327606E1,4.482376099E1,5.159657771E1
1.088284696E2,3.563097000E0,2.529468727E1,4.478229523E1,5.155551212E1
1.088385186E2,3.540679932E0,2.531833267E1,4.482020569E1,5.159850019E1
1.088485676E2,3.549669266E0,2.537820053E1,4.485124207E1,5.165546562E1
1.088586176E2,3.528038025E0,2.538528442E1,4.479248428E1,5.160645663E1
1.088686666E2,3.539554596E0,2.541048813E1,4.470037460E1,5.153974043E1
1.088787156E2,3.609878540E0,2.539766121E1,4.480571747E1,5.162968851E1
1.088887656E2,3.621847153E0,2.533867836E1,4.484108353E1,5.163224932E1
1.088988146E2,3.667390823E0,2.531488228E1,4.476071167E1,5.155399431E1
1.089088646E2,3.647102356E0,2.528211975E1,4.472999573E1,5.150979958E1
1.089189136E2,3.658815384E0,2.522866058E1,4.483588409E1,5.157643597E1
1.089289626E2,3.708639145E0,2.508587074E1,4.506473541E1,5.170962476E1
1.089390126E2,3.697309494E0,2.506097221E1,4.509008789E1,5.171884039E1
1.089490616E2,3.646829605E0,2.512712097E1,4.499289703E1,5.166267858E1
1.089591106E2,3.659109116E0,2.523636627E1,4.492512512E1,5.165781770E1
1.089691606E2,3.574151993E0,2.532375145E1,4.468846130E1,5.148908160E1
1.089792096E2,3.579761505E0,2.538476562E1,4.465377045E1,5.148941865E1
1.089892586E2,3.655445099E0,2.536515808E1,4.463668442E1,5.147025470E1
1.089993086E2,3.659442902E0,2.531836891E1,4.484040451E1,5.162434700E1
1.090093576E2,3.653463364E0,2.522252846E1,4.493981934E1,5.166344064E1
1.090194076E2,3.616874695E0,2.528810120E1,4.482116699E1,5.158979410E1
1.090294566E2,3.616088867E0,2.531735420E1,4.472605896E1,5.152149913E1
1.090395056E2,3.629455566E0,2.532629013E1,4.459362030E1,5.141191390E1
1.090495556E2,3.599617004E0,2.531285286E1,4.457454681E1,5.138665183E1
1.090596046E2,3.640441895E0,2.523352242E1,4.483372498E1,5.157563733E1
1.090696536E2,3.631235123E0,2.528013992E1,4.487979126E1,5.163784471E1
1.090797036E2,3.548490524E0,2.543404007E1,4.467787170E1,5.153245967E1
1.090897526E2,3.514942169E0,2.548223877E1,4.455235291E1,5.144522777E1
1.090998016E2,3.616420746E0,2.532134628E1,4.483741760E1,5.162018107E1
1.091098516E2,3.650365829E0,2.527327156E1,4.492533875E1,5.167542440E1
1.091199006E2,3.583452225E0,2.527143478E1,4.487683868E1,5.162767859E1
1.091299506E2,3.589361191E0,2.536231995E1,4.480273819E1,5.160829523E1
1.091399996E2,3.551429749E0,2.536869240E1,4.469105530E1,5.151187854E1
1.091500486E2,3.576263428E0,2.542683220E1,4.460202789E1,5.146507892E1
1.091600986E2,3.610414505E0,2.544066238E1,4.465982819E1,5.152438888E1
